,loss,accuracy,val_loss,val_accuracy
0,1.7392634153366089,0.4868749976158142,1.0792335271835327,0.5699999928474426
1,0.914665699005127,0.6362500190734863,1.0152387619018555,0.5924999713897705
2,0.7569302320480347,0.6881250143051147,1.0646206140518188,0.5375000238418579
3,0.629202127456665,0.7443749904632568,1.0267010927200317,0.612500011920929
4,0.5611330270767212,0.7693750262260437,1.017554759979248,0.5899999737739563
5,0.4905184209346771,0.8143749833106995,1.090451717376709,0.5950000286102295
6,0.5030286908149719,0.8006250262260437,1.3019391298294067,0.5899999737739563
7,0.36718645691871643,0.8556249737739563,1.058680534362793,0.6200000047683716
8,0.34653666615486145,0.8799999952316284,1.261756181716919,0.6100000143051147
9,0.2841000556945801,0.9006249904632568,1.271902084350586,0.5649999976158142
10,0.2420041412115097,0.9237499833106995,1.268277645111084,0.6000000238418579
11,0.21812058985233307,0.9293749928474426,1.2602769136428833,0.6150000095367432
